,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
0,0,0.3034284710884094,0,0,0,0,3,0.01448189839720726
1,0,53.05257034301758,0,0,0,0,0,-1.0725001096725464
2,0,0.23236370086669922,0,0,0,0,1,0.14551924169063568
3,0,0.6964062452316284,0,0,0,0,0,-0.02266911044716835
4,0,1.2364782094955444,1000,0,1,0,0,-0.07353532314300537
5,0,6.312753677368164,1000,0,1,0,0,0.04824645444750786
6,0,0.8936814069747925,0,0,0,0,0,-0.10119350254535675
7,0,1.8416578769683838,0,0,0,0,0,-0.07181841135025024
8,0,11114304.0,1000,0,1,0,10002,-0.09345363080501556
9,0,0.4313678741455078,0,1000,0,1,0,0.40678513050079346
10,0,14286531.0,0,1000,0,1,10001,1.0318577289581299
11,0,19987680.0,0,0,0,0,10001,5.047204971313477
12,0,14248886.0,0,0,0,0,10000,13.016792297363281
13,0,11047684.0,0,1000,0,1,10000,27.080249786376953
14,0,14135037.0,0,1000,0,1,10000,48.20793151855469
15,0,14048963.0,0,1000,0,1,10000,75.38633728027344
16,0,13936437.0,0,1000,0,1,10000,108.65991973876953
17,0,566.6357421875,0,1000,0,1,0,149.1932373046875
18,0,10629127.0,0,1000,0,1,10000,190.4268798828125
19,0,3470.829345703125,0,1000,0,1,0,244.6374969482422
20,0,13305090.0,0,1000,0,1,10000,300.2737731933594
21,0,4384.81591796875,0,1000,0,1,0,376.4469299316406
22,0,17861092.0,0,0,0,0,10000,457.5111083984375
23,0,425.27099609375,0,1000,0,1,0,569.4735717773438
24,0,16816902.0,0,1000,0,1,10000,687.9406127929688
25,0,8964740.0,0,1000,0,1,10000,845.3689575195312
26,0,15205030.0,0,1000,0,1,10000,1046.7847900390625
27,0,48301.421875,0,1000,0,1,0,1283.6763916015625
28,0,7372633.5,0,1000,0,1,10000,1501.9443359375
29,0,8825702.0,0,1000,0,1,10000,1742.105224609375
30,1,0.406127393245697,0,0,0,0,4,0.0
31,1,84.67410278320312,0,1000,0,1,1,-0.7352837920188904
32,1,14288370.0,0,1000,0,1,10001,0.6410915851593018
33,1,11099305.0,0,1000,0,1,10001,4.882680892944336
34,1,140.7230987548828,0,1000,0,1,0,12.651191711425781
35,1,19898484.0,0,1000,0,1,10001,21.31741714477539
36,1,19817784.0,0,0,0,0,10000,33.61533737182617
37,1,1901.2493896484375,0,0,0,0,0,51.213409423828125
38,1,2606.701904296875,0,0,0,0,0,68.9885025024414
39,1,2704.54296875,0,0,0,0,0,86.13114929199219
40,1,2493.20556640625,0,1000,0,1,0,102.15306854248047
41,1,19357244.0,0,1000,0,1,10000,116.53314971923828
42,1,10678191.0,0,1000,0,1,10000,140.2942657470703
43,1,7453.7451171875,0,1000,0,1,0,171.6431427001953
44,1,10507.21484375,0,1000,0,1,0,202.10496520996094
45,1,18712114.0,0,1000,0,1,10000,229.77001953125
46,1,13227249.0,0,1000,0,1,10000,264.75390625
47,1,10151685.0,0,1000,0,1,10000,305.55059814453125
48,1,12874090.0,0,1000,0,1,10000,349.98675537109375
49,1,16546.134765625,0,1000,0,1,0,398.5658264160156
50,1,17499916.0,0,1000,0,1,10000,443.4209289550781
51,1,12307823.0,0,1000,0,1,10000,494.38262939453125
52,1,12058758.0,0,1000,0,1,10000,550.9071655273438
53,1,16554642.0,0,1000,0,1,10000,613.26025390625
