,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
83,2,0.036929357796907425,0,0,0,0,0,0.12327135354280472
84,2,0.0026713828556239605,0,0,0,0,0,-0.021787060424685478
85,2,0.25115036964416504,0,0,0,0,0,-0.0387813076376915
86,2,0.006287099327892065,0,0,0,0,0,-0.035700131207704544
87,2,0.051440466195344925,0,0,0,0,0,-0.028818031772971153
88,2,0.0013151941820979118,0,1000,0,1,0,-0.0222200695425272
89,2,0.0008572241058573127,0,0,0,0,1000,-0.019673045724630356
90,3,0.5077287554740906,1000,0,1,0,1005,0.08242841809988022
91,3,2.3207874298095703,0,0,0,0,1000,0.7012413144111633
92,3,8.808260917663574,0,0,0,0,0,-1.8185646533966064
93,3,0.39580634236335754,0,0,0,0,1,-0.10067732632160187
94,3,0.25758814811706543,0,0,0,0,0,0.016585074365139008
95,3,1.6378471851348877,0,0,0,0,0,-0.17686578631401062
96,3,0.4623561501502991,0,0,0,0,0,-0.16426512598991394
97,3,0.044859983026981354,0,0,0,0,0,0.2156287133693695
98,3,0.11255177110433578,0,0,0,0,0,0.7645125389099121
99,3,2.4442696571350098,0,0,0,0,0,1.2059158086776733
100,3,0.24431300163269043,0,0,0,0,0,0.3665149509906769
101,3,0.38092494010925293,0,0,0,0,0,-0.4154466986656189
102,3,0.5723007917404175,0,0,0,0,0,-0.8807459473609924
103,3,1.0873583555221558,0,0,0,0,0,-1.2069907188415527
104,3,0.48879045248031616,0,0,0,0,0,-1.3397438526153564
105,3,1.5407439470291138,0,0,0,0,1001,-1.3902091979980469
106,3,0.3749307096004486,0,0,0,0,0,-0.9790860414505005
107,3,0.12661106884479523,0,0,0,0,1000,-0.5597777962684631
108,3,0.07533881813287735,0,0,0,0,0,-0.2169608324766159
109,3,0.20521822571754456,0,0,0,0,0,0.02707931399345398
110,3,0.056732915341854095,0,0,0,0,0,0.17710024118423462
111,3,0.21141839027404785,0,0,0,0,0,0.25307533144950867
112,3,0.08838620036840439,0,0,0,0,0,0.24790269136428833
113,3,0.027167003601789474,1000,0,1,0,0,0.17336368560791016
114,3,0.034921035170555115,1000,0,1,0,0,0.18402788043022156
115,3,0.24144338071346283,1000,0,1,0,1000,0.3788659870624542
116,3,0.01832115836441517,0,0,0,0,0,0.1451033055782318
117,3,0.013776520267128944,0,0,0,0,0,0.22803157567977905
118,3,0.06238613277673721,0,0,0,0,0,0.3937400281429291
119,3,0.06316280364990234,0,0,0,0,0,0.5376767516136169
120,4,0.15053460001945496,0,0,0,0,3,0.06701131910085678
121,4,39.16489791870117,0,0,0,0,1003,-3.393209457397461
122,4,0.7289158701896667,1000,0,1,0,0,-0.6570090651512146
123,4,0.3049330413341522,0,0,0,0,0,0.7472698092460632
124,4,0.8864854574203491,0,0,0,0,0,2.390990972518921
125,4,2.2825794219970703,0,0,0,0,0,2.1343753337860107
126,4,1.899034857749939,0,0,0,0,0,1.5586071014404297
127,4,0.025549083948135376,0,0,0,0,0,1.1079761981964111
128,4,0.16233307123184204,0,0,0,0,0,0.8263996243476868
129,4,0.4843115210533142,0,0,0,0,1001,0.6357002258300781
130,4,0.25116783380508423,0,0,0,0,0,0.37200459837913513
131,4,0.09809595346450806,1000,0,1,0,1001,0.18970930576324463
132,4,0.000324561377055943,0,0,0,0,0,0.08884987980127335
133,4,0.05575156211853027,0,0,0,0,0,0.19024533033370972
134,4,0.08862989395856857,0,0,0,0,1000,0.2573530673980713
135,4,0.07398781925439835,0,0,0,0,1000,0.1999114453792572
136,4,0.006850563455373049,0,0,0,0,1000,0.09064653515815735
137,4,0.029560962691903114,0,0,0,0,0,0.04782850295305252
138,4,0.11438566446304321,0,0,0,0,1000,-0.07561973482370377
139,4,0.11944513022899628,0,0,0,0,0,0.034685730934143066
140,4,0.026985442265868187,0,0,0,0,1000,0.1125170961022377
141,4,0.009239942766726017,1000,0,1,0,0,0.2981039881706238
142,4,0.009484902024269104,1000,0,1,0,0,0.45372867584228516
143,4,0.03422166779637337,1000,0,1,0,0,0.5863544940948486
144,4,0.0072775171138346195,0,0,0,0,0,0.6959524154663086
145,4,0.0059052566066384315,0,0,0,0,0,0.7908121347427368
146,4,0.04021875187754631,0,0,0,0,0,0.863547146320343
147,4,0.02856144867837429,0,0,0,0,0,0.8935592174530029
148,4,0.00168776570353657,1000,0,1,0,0,0.8917434215545654
149,4,0.060922861099243164,0,0,0,0,1000,0.8781367540359497
