,Run #,Training Loss,Testing Loss 42,Testing Loss 0,Test Seed 42 Score,Test Seed 0 Score,Returns,Take Coin QValue
0,0,0.11719074100255966,0,0,0,0,4.833333333333333,-0.03483754023909569
1,0,70.55531311035156,0,0,0,0,2.5428571428571427,1.6220988035202026
2,0,3.607616424560547,0,0,0,0,1.415811965811966,0.19308240711688995
3,0,0.2697996199131012,0,0,0,0,1.060609243697479,0.17015984654426575
4,0,0.659427285194397,0,0,0,0,0.6284441721512659,1.5436750650405884
5,0,17.864089965820312,0,0,0,0,2.415909090909091,3.0006260871887207
6,0,9.66787338256836,0,0,0,0,1.4375579975579975,2.256727933883667
7,0,3.039834499359131,0,0,0,0,0.4972712500856517,1.4988903999328613
8,0,5.454957008361816,0,0,0,0,0.48458459720256886,0.9255800247192383
9,0,0.9916543960571289,0,0,0,0,0.37451648138147,0.5740375518798828
10,1,0.07002004981040955,0,0,0,0,3.3095238095238093,0.0
11,1,100.33721923828125,0,0,0,0,2.0539682539682538,0.0
12,1,0.5001607537269592,0,0,0,0,2.067796092796093,0.0
13,1,0.184369295835495,0,0,0,0,1.0975861556743909,0.0
14,1,2.8532443046569824,0,0,0,0,1.292192018507808,0.0
15,1,0.7682600021362305,0,0,0,0,0.9727646321686569,0.0
16,1,3.793255567550659,0,0,0,0,0.6804951328864373,0.0
17,1,5.1678667068481445,0,0,0,0,1.567293334684639,0.0
18,1,2.2857871055603027,0,1000,0,1,1.7197751322751322,1.9215545654296875
19,1,4.5385870933532715,0,1000,0,1,0.48300287807534426,1.452967643737793
20,2,0.06917166709899902,0,0,0,0,3.483333333333334,0.0
21,2,29.343664169311523,0,0,0,0,2.6107142857142853,0.0
22,2,2.2438433170318604,0,0,0,0,1.3079365079365082,0.0
23,2,0.6857541799545288,0,1000,0,1,0.9245532245532246,0.6812991499900818
24,2,6.7575883865356445,0,0,0,0,2.298784548784549,2.759816884994507
25,2,3.081963300704956,0,0,0,0,0.8639705882352942,1.649471640586853
26,2,3.340315580368042,0,0,0,0,0.8417710944026734,1.139020323753357
27,2,1.229416012763977,0,0,0,0,0.6474032247945292,0.5447152853012085
28,2,0.04153173044323921,0,0,0,0,0.4787160052452406,0.03058015927672386
29,2,0.5622349977493286,0,0,0,0,0.4540248805124847,0.27652934193611145
30,3,0.06676402688026428,0,0,0,0,3.176190476190476,0.0
31,3,11.42595100402832,0,0,0,0,1.496897546897547,0.0
32,3,0.07725252211093903,0,0,0,0,1.3863418444300797,0.0
33,3,28.588550567626953,0,0,0,0,0.7510632197703135,0.0
34,3,0.051893770694732666,0,0,0,0,0.8517691948574302,0.0
35,3,4.922285079956055,0,0,0,0,0.5217253731871582,0.0
36,3,4.086707592010498,0,0,0,0,0.532668526050879,0.0
37,3,0.7805744409561157,0,0,0,0,0.3643400157171993,0.0
38,3,4.714407444000244,0,0,0,0,0.5074397942244251,0.0
39,3,4.529387474060059,0,0,0,0,0.9016770815023095,0.0
40,4,0.05986549332737923,0,0,0,0,3.176190476190476,0.0
41,4,41.18179702758789,0,0,0,0,1.978210678210678,0.0
42,4,2.558277130126953,0,0,0,0,1.3503718503718503,0.0
43,4,0.13283997774124146,0,0,0,0,0.600971555963816,0.0
44,4,0.39320480823516846,0,0,0,0,0.8507618544689483,0.0
45,4,34.371150970458984,0,0,0,0,0.5871953685913641,0.0
46,4,6.9247727394104,0,0,0,0,0.6960491551870862,0.0
47,4,14.634298324584961,0,0,0,0,0.4454933586337761,0.0
48,4,7.185369968414307,0,0,0,0,0.38177156575744514,0.0
49,4,6.563232421875,0,0,0,0,0.305826567373401,0.0
